"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX21985550","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060774","","4725.03","1","49972941","15002501480","MARCO 069 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985549","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060773","","2425.65","1","25755004","7733640858","MARCO 069 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985548","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060775","","1822.06","1","17165075","5156541798","MARCO 068 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985547","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060772","","2121.23","1","22668369","6804318918","MARCO 068 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985546","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060771","","6055.68","1","62904483","18878337330","MARCO 067 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985545","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060770","","1009.2","1","10047894","3021524706","MARCO 067 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985544","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060769","","2963.17","1","27487662","8259587370","MARCO 066 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985543","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060768","","3603.39","1","38721732","11624498404","MARCO 066 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985542","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060767","","1945.37","1","20199282","6067501898","MARCO 065 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985541","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060765","","858.25","1","9142317","2745675698","MARCO 006 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985540","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060766","","2691.12","1","27595839","8284746804","MARCO 065 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985539","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060763","","5685.4","1","57601634","17290101506","MARCO 064 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985538","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060764","","2894.33","1","30274759","9088967704","MARCO 064 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985537","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060762","","6656.25","1","69942615","20993996300","MARCO 062 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985536","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060761","","3339.23","1","34624640","10394826976","MARCO 062 V2","WGS","METAGENOMIC","size fractionation"
